subject,sender,body,category
Að leita að leiðsögn um að taka þátt í stuðningshópum ADHD,odinstar@yahoo.com,Kveðja. Ég væri þakklátur fyrir allar innsýn í forrit sem auðvelda aðgang að hagkvæmum ADHD lyfjum. Að veita lyfin mín er mikil fjárhagsleg byrði. Takk fyrir alla hjálp sem þú getur veitt mér með þessu. Leiðbeiningar þínar um þetta mál væru ótrúlega gagnlegar.,Information Request
Looking for ADHD Learning Resources for My Daughter,concernedparent88@outlook.com,"My daughter was recently diagnosed with ADHD, and I'm trying to find good learning resources to help her with school. Do you have any recommendations for books, apps, or online courses?",Information Request
Sign-Up for General Volunteering Opportunities with ADHD Organizations,valkyrieshield@outlook.com,Your organization's work has inspired me to reach out for guidance. How do I get a prescription for ADHD medication? I’ve encountered delays in getting my prescription filled and am unsure how to resolve them. Any advice on how to make this process smoother would be great. Thanks a bunch!,Information Request
Sjálfvirk tilkynning: Foreldraþjálfun fyrir börn 6-12 með innritun ADHD námskeiðs,noreply@virk.is,Ég er að ná með skjótum fyrirspurn sem ég vona að þú getir aðstoðað við. Skráning þín á námskeiðinu „ADHD og ME - Boys 10-12 ára“ hefur verið unnið með góðum árangri. Þetta námskeið fjallar um að styðja stráka á aldrinum 10-12 ára með ADHD og hjálpa þeim að skilja betur ástand þeirra og dafna. Eftirfarandi eru upplýsingar um þann sem skráði sig á námskeiðið: Ég treysti fyrirtækinu þínu til að veita þann stuðning sem ég þarf og þakka þér fyrirfram.,Course Confirmation
Request for Special Discount Code,helgaheart@yahoo.com,"I am writing in search of advice or assistance for my specific concern. Could you please help me with a payment issue I encountered? My payment seems to have gone through, but the order status hasn't updated. Could you kindly assist with fixing the payment issue with my order? I would be grateful for any assistance you can provide.",Web Shop Order
Order Confirmation for Reflective Sign,eldastorm@outlook.com,"Hi, I wanted to check in about something quickly. Can you confirm if my jewelry order has shipped yet? I haven't received an update on the shipment of my jewelry. I would greatly appreciate your assistance in tracking my jewelry order. I would be grateful for any assistance you can provide.",Web Shop Order
dont kno how to start,cluelesspath@protonmail.com,everyone says i need a diagnosis for adhd but i dont know where to even begin. pls guide me step by step?,Information Request
Ertu að leita að afslætti af ADHD lyfjum,frejadream@outlook.com,"Hey þarna, ég vona að þér líði vel! Getur þú veitt strax fjármagn eða tengiliði fyrir einhvern í kreppu vegna ADHD? Ef það eru einhverjar neyðarhotlínur eða þjónustu sem þú getur mælt með, vinsamlegast láttu mig vita. Vinsamlegast láttu mig vita ef samtökin þín bjóða upp á beinan stuðning við kreppur sem þessa. Takk helling!",Information Request
Request for ADHD Educational Materials,jenny.learner@mail.com,I'm a teacher and I have a few students with ADHD. I'm looking for strategies or learning materials that can help me support them better in the classroom. Any advice would be great.,Information Request
ADHD og ég - Stelpur 10-12 ára námskeið: Sjálfvirk staðfesting á innritun,noreply@virk.is,"Þakka þér fyrir alla þá vinnu sem þú vinnur. Við erum ánægð með að staðfesta þátttöku þína í „pólska ADHD málstofunni“. Þú munt kanna ADHD efni sem tengjast pólskum fjölskyldum, kennurum og heilsugæslustöðvum. Hér eru persónulegar upplýsingar fyrir einstaklinginn sem skráði sig á málstofuna: Vinsamlegast láttu mig vita ef þú hefur einhverjar spurningar eða þarfnast frekari upplýsingar.",Course Confirmation
Beiðni um staðfestingu á greiðslu,saravibes@yahoo.com,Ég er að ná til að læra meira um þjónustu þína og hvernig þær gætu hjálpað mér. Gætirðu staðfest upplýsingar um mælingar fyrir pöntunina mína? Ég hef ekki fengið neinar upplýsingar um pöntunina mína. Gætirðu deilt vinsamlega rakningarupplýsingum fyrir pöntunina mína? Ég myndi meta hjálp þína mjög í þessu máli.,Web Shop Order
Automated Course Enrollment Confirmation: Polish ADHD Seminar,noreply@virk.is,"I am reaching out to learn more about your services and how they might help me. Thank you for registering for the 'Parental Training for Children 6-12 with ADHD' course. Your enrollment is confirmed. In the 'Parental Training for Children 6-12 with ADHD' course, you will explore behavioral management techniques and learn how to create supportive home environments. Here are the personal details of the individual who registered for the course: Please let me know if you have any questions or require additional information.",Course Confirmation
Book Order Cancellation Request,jarnforce@yahoo.com,I wanted to take a moment to express my gratitude for your work. Could you provide me with an update on the current status of my order? I haven't received any communication about my order's status. I would be grateful if you could inform me of the status of my order. I value your expertise and look forward to your insights.,Web Shop Order
ADHD og ég - strákar 10-12 ára skráning námskeiðs árangursrík - Sjálfvirk staðfesting,noreply@virk.is,"Ég vona að þessi tölvupóstur nái þér á góðum tíma. Við erum spennt að staðfesta þátttöku þína í 'ADHD og mér - Boys 10-12 ára' námskeið. Á þessu námskeiði munu strákar kanna ADHD-tengt efni, þróa bjargráð og læra um sjálfsvíg. Eftirfarandi eru smáatriði þess sem skráði sig á námskeiðið: Ég er fús til að fá svar þitt og leiðbeiningar.",Course Confirmation
Að skilja ADHD Webinar: Sjálfvirk staðfesting á innritun,noreply@virk.is,Ég þakka djúpt úrræði sem lið þitt veitir samfélaginu. Þakka þér fyrir að skrá þig á námskeiðið 'leikskólann og ADHD'. Skráning þín hefur verið staðfest með góðum árangri. Námskeiðið býður upp á hagnýt ráð fyrir foreldra og kennara til að hjálpa börnum á leikskólaaldri með ADHD að ná árangri. Hér eru persónulegar upplýsingar um einstaklinginn sem skráði sig á námskeiðið: Þakka þér fyrir að gefa þér tíma til að fara yfir tölvupóstinn minn.,Course Confirmation
Beiðni um ítarlegt yfirlit yfir ADHD stuðningsþjónustu,jorundwolf@gmail.com,Hvernig gerirðu það? Sem fagmaður í [Insert Field] hef ég áhuga á að bjóða þjónustu mína sem sjálfboðaliða til að hjálpa málstað þínum. Gætirðu gefið upplýsingar um hvernig ég get tekið þátt sem faglegur sjálfboðaliði hjá fyrirtækinu þínu? Hlakka til að leggja sitt af mörkum til að efla mikilvæga vinnu þína. Ég bíð spennt eftir álitum þínum og leiðsögn.,Information Request
Fyrirspurn um magn leikfangs pöntunar,saraqueen@outlook.com,Ég þarf hjálp við að finna upplýsingar. Geturðu sagt mér hvort pöntunin á kortaveskinu mínu hafi verið afgreidd? Ég hef ekki fengið neinar uppfærslur um sendingu korta veskisins. Sérhver uppfærsla á komu korta veskisins míns væri vel þegin. Ég þakka djúpt tíma þinn og hlakka til að svara þér.,Web Shop Order
Your Enrollment in Go Girls Go is Confirmed,noreply@virk.is,"Greetings. Your registration for the 'Understanding ADHD' webinar has been confirmed. We look forward to your participation. The 'Understanding ADHD' webinar will cover the basics of ADHD, including symptoms, diagnosis, and effective management strategies. The following are the personal details of the individual who registered for the webinar: Please let me know if you have any questions or require additional information.",Course Confirmation
Beiðni um upplýsingar um rekja pöntun,alexandraglow@outlook.com,"Hæ, ég vildi kíkja inn um eitthvað fljótt. Geturðu staðfest hvort framboðspöntunin mín hafi verið send? Ekki hefur verið sent skólabirgðirnar mínar. Gætirðu vinsamlega veitt upplýsingar um rekja til framboðs pöntunar minnar? Ég þakka athygli þína á beiðni minni og bíð eftir svari þínu.",Web Shop Order
Skólaumhverfi og ADHD námskeiðsskráning vel heppnuð - Sjálfvirk staðfesting,noreply@virk.is,Ég vona að þessi tölvupóstur finni þig vel. Til hamingju! Þú ert nú skráður í 'Haltu áfram! Námskeið ADHD og fjármála. Haltu áfram! Námskeið ADHD og fjárhag veitir aðferðir til að stjórna fjárhag meðan verið er að takast á við ADHD-tengdar áskoranir. Vinsamlegast finndu skráningarupplýsingar fyrir þátttakandann hér að neðan: ekki hika við að ná til ef þú þarft frekari skýringar.,Course Confirmation
no one listens idk who else to ask,desperatevoice90@yahoo.com,i feel like i’m just invisible. every time i ask for help no one cares. pls just listen this time.,Information Request
Hugleiðandi skilti pöntunarpöntun,viktortide@outlook.com,Ég er að skrifa í leit að ráðgjöf eða aðstoð vegna sérstakrar áhyggju minnar. Geturðu uppfært mig um stöðu nýlegrar pöntunar minnar? Er seinkun á vinnslu pöntunarinnar? Ég væri þakklátur ef þú gætir upplýst mig um stöðu pöntunar minnar. Þakka þér fyrir að gefa þér tíma til að fara yfir tölvupóstinn minn.,Web Shop Order
Seeking Online ADHD Support Communities,alonebuttrying77@gmail.com,I'm trying to find an online ADHD support group. In-person isn't really an option right now. Do you have any recommendations for trustworthy communities?,Information Request
Seeking Affordable Medication Assistance for ADHD,olithewonder@yahoo.com,I appreciate your efforts to help individuals like me. I would love to volunteer my time and support your cause by helping with various tasks. Could you provide me with more details on the volunteer roles available within your organization? I’m looking forward to becoming a part of your volunteer team and contributing where I can. I trust your organization to provide the support I need and thank you in advance.,Information Request
Beiðni um frekari upplýsingar um ADHD-tengd forrit,perhero@outlook.com,"Hæ, ég vildi kíkja inn um eitthvað fljótt. Ég er að bjóða fagþjónustu mína sem sjálfboðaliði til að aðstoða samtök þín við ADHD-tengdar frumkvæði. Gætirðu gefið upplýsingar um hvernig ég get tekið þátt sem faglegur sjálfboðaliði hjá fyrirtækinu þínu? Hlakka til að leggja sitt af mörkum til að efla mikilvæga vinnu þína. Ég þakka athygli þína á beiðni minni og bíð eftir svari þínu.",Information Request
Looking for ADHD Specialist Recommendations,bennysmith66@mail.com,I'm new to the area and looking for a doctor who specializes in ADHD treatment. It's really important to find someone who understands ADHD well. Can you recommend anyone nearby?,Information Request
Innritun þín í Taktu stjórn! Námskeið er staðfest,noreply@virk.is,Ég vona að þessi tölvupóstur nái þér á góðum tíma. Þú hefur verið skráður með góðum árangri í námskeiðið 'grunnskólann og ADHD'. Til hamingju! Þú munt læra um þær einstöku áskoranir sem börn með ADHD andlit og hvernig á að taka á þeim í skólastofunni. Hér eru persónulegar upplýsingar sem tengjast skráningu þinni á námskeiðið: Hlakka til að svara þér!,Course Confirmation
Fyrirspurnir um skrefin til að hefja ADHD greiningu,eldastorm@gmail.com,Kveðja. Ég hafði mikla reynslu af því að vinna með þínu teymi og ég myndi elska að deila jákvæðum viðbrögðum mínum. Aðstoðin sem ég fékk hefur verið ómetanleg og ég er svo þakklátur fyrir hjálpina sem samtökin þín veita. Það hefur verið jákvæð reynsla og ég vildi taka smá stund til að þakka þér fyrir vinnu þína og stuðning. Ég treysti fyrirtækinu þínu til að veita þann stuðning sem ég þarf og þakka þér fyrirfram.,Information Request
Tracking Information for Gift Order,sagasoul@yahoo.com,I appreciate your willingness to assist those seeking support. Could you confirm the tracking information for my order? Can you help me track my order? Please provide the tracking number so I can follow up on my order. I deeply appreciate your time and look forward to your reply.,Web Shop Order
Afsláttur af pöntunum fyrir kortaveski,drew7@outlook.com,Ég hef heyrt frábæra hluti um vinnu þína og vildi tengjast. Geturðu staðfest hvort framboðspöntunin mín hafi verið send? Ég er farinn að hafa áhyggjur af seinkun á afhendingu skólans. Gætirðu vinsamlega veitt upplýsingar um rekja til framboðs pöntunar minnar? Ég er vongóður um jákvæða upplausn og aðstoð þína.,Web Shop Order
Reflective Sign Order Cancellation,vigourtrail@gmail.com,"Hey there, I hope you're doing well! I would like to inquire about the delivery status of my toy order. My order is still marked as pending. Could you kindly share any updates on the status of my toy order? I am hopeful for a positive resolution and your assistance.",Web Shop Order
Haltu áfram! Námskeið ADHD og fjárhag: Sjálfvirk staðfesting á innritun,noreply@virk.is,Þakka þér fyrir mikilvæga hlutverkið sem þú gegnir við að styðja þá sem eru í neyð. Við erum spennt að upplýsa þig um að þú hafir skráð þig í 'Haltu áfram! Námskeið ADHD og fjármála. Haltu áfram! Námskeið ADHD og fjárhag veitir aðferðir til að stjórna fjárhag meðan verið er að takast á við ADHD-tengdar áskoranir. Vinsamlegast finndu skráningarupplýsingar fyrir þátttakandann hér að neðan: Þakka þér fyrir áframhaldandi viðleitni þína og skuldbindingu til að hjálpa öðrum.,Course Confirmation
Desperate for Help Affording ADHD Medications,james.adams22@mail.com,"I've been struggling to afford my ADHD meds since I lost my insurance. I can't focus without them, and it's affecting my job. Please tell me if you offer any assistance programs or know where I can get these meds cheaper. I'm running out of options.",Information Request
Your Enrollment in ADHD and Me - Girls 10-12 Years Old Course is Confirmed,noreply@virk.is,I am reaching out to learn more about your services and how they might help me. Your registration for the 'Preschool and ADHD' course has been successfully processed. This course is designed to provide tools and techniques for supporting preschool-aged children with ADHD. Please find the personal details of the course participant below: Thank you for taking the time to review my email.,Course Confirmation
Request for Order Tracking Information,arnesky@outlook.com,I need help finding info. Could you provide an update on my ADHD product shipment? Could you tell me if there is a delay with my ADHD product? Please let me know if there are any delays with my order. Looking forward to hearing back from you.,Web Shop Order
Villa við greiðsluvinnslu,zarasheart@yahoo.com,Ég er að skrifa í leit að ráðgjöf eða aðstoð vegna sérstakrar áhyggju minnar. Geturðu aðstoðað við að panta mikið magn af hlutum fyrir samtökin okkar? Við þurfum magnpöntun á vörum þínum fyrir viðburð stofnunarinnar. Ég myndi meta það ef þú gætir leiðbeint mér í gegnum magnpöntunarferlið. Ég treysti fyrirtækinu þínu til að veita þann stuðning sem ég þarf og þakka þér fyrirfram.,Web Shop Order
Automated Notification: ADHD and Me - Girls 10-12 Years Old Course Enrollment,noreply@virk.is,"I admire the impact your organization has made and hope you can help me. We are excited to inform you that your registration for the 'Go Girls Go' course has been successfully processed. In the 'Go Girls Go' course, you will explore ADHD-related topics with a focus on girls' experiences. The following are the details of the person who signed up for the course: I extend my sincere thanks for your consideration.Thanks.Thanks!thanksThank you.thank youthxI appreciate your time.Thank you for your time.Looking forward to hearing from you soon.",Course Confirmation
Seeking Assistance with ADHD-Related Accommodations at School or Work,steindormind@yahoo.com,"Hi, I wanted to check in about something quickly. I'm confused about how to get my ADHD meds. This whole prescription thing is a nightmare. Any advice on how to make this process smoother would be great. Looking forward to your reply!",Information Request
Looking for Help with ADHD-Focused Learning Resources,petrasstar@outlook.com,I am writing to seek assistance with a matter important to me. I'm looking for local ADHD support groups. I'm looking to find a community of people who 'get' ADHD. I appreciate your assistance in directing me towards appropriate peer support resources. Thank you for your ongoing efforts and commitment to helping others.,Information Request
Fjölskylduþjálfun fyrir 13-18 ára unglinga með ADHD námskeið: Sjálfvirk staðfesting á innritun,noreply@virk.is,"Verk þín hafa verið leiðarljós fyrir marga, þar á meðal ég sjálfur. Þú hefur verið skráður með góðum árangri í námskeiðið 'grunnskólann og ADHD'. Til hamingju! Námskeiðið fjallar um nauðsynlegar aðferðir til að styðja börn með ADHD í grunnskólaumhverfi. Hér eru persónulegar upplýsingar sem tengjast skráningu þinni á námskeiðið: Ég treysti fyrirtækinu þínu til að veita þann stuðning sem ég þarf og þakka þér fyrirfram.",Course Confirmation
Requesting Information on Locating ADHD Specialists Near Me,freystar@outlook.com,I hope you are doing well. I am interested in finding educational resources specifically tailored for individuals with ADHD. I need resources that give me real-world tips for dealing with ADHD. Any links or resources you can share would be great. Any help you can provide would be deeply appreciated.,Information Request
Staðfesting á bókarpöntuninni þinni,gunnhildlight@gmail.com,Hæ. Ég á í vandræðum með að beita afsláttarkóðanum mínum við afgreiðslu. Ég held að það gæti verið mál með afsláttarkóðann sem ég nota. Ég myndi meta hjálp þína við að beita afsláttinum mínum á pöntunina. Ég er fús til að fá svar þitt og leiðbeiningar.,Web Shop Order
ADHD DIAGNOSIS TREATMENT,yehe220@gmail.com,"Hello,

My name is Yehenverling.

I would like to ask for help.

Can you please tell me where I could get a diagnosis for ADHD?

Six months ago, I was diagnosed by my psychologist, and now I wish to confirm it with other specialists.

KVD,
xxx",Information Request
Automated Course Enrollment Confirmation: ADHD and Me - 13-15 Years Old,noreply@virk.is,"How do you do? Thank you for registering for the 'ADHD and Me - Girls 10-12 Years Old' course. This email confirms your enrollment. Girls will learn to better understand ADHD and develop strategies for thriving at home, school, and in social settings. Below are the details of the person who signed up for the course: I trust your organization to provide the support I need and thank you in advance.",Course Confirmation
Inquiring About ADHD Specialist Services in My Area,ariwave@gmail.com,I am grateful for the resources you provide and would like to inquire about something. I request a clarification regarding the procedures for obtaining my prescribed ADHD medication. My insurance keeps rejecting my prescription; what can I do? Please send me any helpful resources or links. Looking forward to a prompt and helpful response.,Information Request
Staðfesting á bókarpöntuninni þinni,gudmundur99@yahoo.com,Hvernig gerirðu það? Ég er að leita að upplýsingum um framboð á tiltekinni bók. Bókin sem ég pantaði er enn merkt sem í bið. Öll hjálp við að finna pöntunina mína væri vel þegin. Vinsamlegast láttu mig vita ef það eru fleiri skref sem ég ætti að taka.,Web Shop Order
Expressing Gratitude for Your ADHD Support Programs,soljourney@gmail.com,"I appreciate your willingness to assist those seeking support. I would like to learn more about the specific services your charity provides for those affected by ADHD. I’m particularly interested in any resources, programs, or support groups that might be available for people with ADHD. I look forward to hearing more about the services you offer and how they might help me or others with ADHD. Please let me know if there are additional steps I should take.",Information Request
Return or Exchange Request for ADHD Product,grimathwolf@gmail.com,"I am writing in search of advice or assistance for my specific concern. Can you provide an update on the expected delivery of my book? It's been a while since I placed the order, and I haven't heard anything. Could you kindly update me on when I can expect my order to ship? Please let me know if you have any questions or require additional information.",Web Shop Order
Automated Notification: Take Control! Course Enrollment,noreply@virk.is,I need help finding info. Congratulations! You have successfully registered for the 'Understanding ADHD' webinar. The 'Understanding ADHD' webinar provides an overview of ADHD and offers practical tips for managing it. Below are the personal details associated with the webinar registration: Thanks again for your help.,Course Confirmation
Need Help Starting ADHD Diagnosis for My Child,emma.parenting123@mail.com,"My son is showing signs of ADHD, and I think it's time to get him evaluated. I don’t even know where to start or who to contact. Can you guide me through the steps?",Information Request
Sjálfvirk staðfesting námskeiða: leikskóla og ADHD,noreply@virk.is,Ég vildi taka smá stund til að tjá þakklæti mitt fyrir vinnu þína. Til hamingju! Þú ert nú skráður í „foreldraþjálfun fyrir börn 6-12 með ADHD“ námskeiðinu. Þú munt fá tæki til að bæta samskipti og stjórna ADHD einkennum barnsins heima. Vinsamlegast finndu skráningarupplýsingar fyrir þátttakandann hér að neðan: Ég bíð spennt eftir áliti þínu og leiðbeiningum.,Course Confirmation
Grunnskóli og ADHD námskeið: Sjálfvirk staðfesting á innritun,noreply@virk.is,"Hæ, ég vildi kíkja inn um eitthvað fljótt. Skráning þín á námskeiðinu „leikskólanum og ADHD“ hefur verið unnið með góðum árangri. Á námskeiðinu „leikskólanum og ADHD“ munum við ræða aðferðir til að stjórna ADHD hjá ungum börnum. Hér eru persónulegar upplýsingar um einstaklinginn sem skráði sig á námskeiðið: Ég bíð spennt eftir endurgjöf þinni og leiðsögn.",Course Confirmation
ADHD and Me - Girls 10-12 Years Old Course: Automated Enrollment Confirmation,noreply@virk.is,I hope you are doing well. Your registration for the 'Preschool and ADHD' course has been successfully processed. This course is designed to provide tools and techniques for supporting preschool-aged children with ADHD. Here are the personal details of the individual who registered for the course: I await your reply and appreciate your attention to this matter.,Course Confirmation
Brýn beiðni um aðstoð vegna ADHD-tengdra mála,karitalight@yahoo.com,Ég er að skrifa í leit að ráðgjöf eða aðstoð vegna sérstakrar áhyggju minnar. Sem fagmaður í [Insert Field] hef ég áhuga á að bjóða þjónustu mína sem sjálfboðaliða til að hjálpa málstað þínum. Ég hef reynslu af [settu inn sérfræðiþekkingu] og tel að færni mín gæti stuðlað að verkefni þínu. Hlakka til að leggja sitt af mörkum til að efla mikilvæga vinnu þína. Þakka þér fyrir áframhaldandi viðleitni þína og skuldbindingu til að hjálpa öðrum.,Information Request
Innritun þín í grunnskóla og ADHD námskeið er staðfest,noreply@virk.is,Þakka þér fyrir mikilvæga hlutverkið sem þú gegnir við að styðja þá sem eru í neyð. Þakka þér fyrir að skrá þig í „foreldraþjálfun fyrir börn 6-12 með ADHD“ námskeiðinu. Innritun þín er staðfest. Námskeiðið býður upp á hagnýtar aðferðir til að stjórna ADHD heima og styðja tilfinningalega þroska barnsins. Hér eru persónulegar upplýsingar um einstaklinginn sem skráði sig á námskeiðið: Sérhver hjálp sem þú getur veitt væri djúpt vel þegið.,Course Confirmation
Beiðni um sérstakan afsláttarkóða,thorilwind@gmail.com,Ég er að ná með skjótum fyrirspurn sem ég vona að þú getir aðstoðað við. Gætirðu staðfest að leikfangapöntunin mín hafi verið afgreidd? Svo virðist sem flutningsstaða leikfangapöntunarinnar sé óljós. Gætirðu deilt vinsamlega uppfærslum á stöðu leikfangapöntunar minnar? Vinsamlegast láttu mig vita ef það eru fleiri skref sem ég ætti að taka.,Web Shop Order
Sjálfvirk staðfesting námskeiða: Pólsk ADHD málstofa,noreply@virk.is,Þakka þér fyrir mikilvæga hlutverkið sem þú gegnir við að styðja þá sem eru í neyð. Skráning þín á námskeiðinu „ADHD og ME - Boys 10-12 ára“ hefur verið unnið með góðum árangri. Námskeiðið „ADHD and Me - Boys 10-12 ára“ er hannað til að taka þátt í strákum í umræðum um ADHD og kenna þeim hvernig á að stjórna einkennum sínum. Hér eru persónulegar upplýsingar sem tengjast skráningu námskeiðsins: Takk aftur fyrir hjálpina.,Course Confirmation
Leita aðstoðar við gistingu fyrir ADHD í menntun eða vinnustað,birnafrost@yahoo.com,Stuðningur þinn við fólk eins og mig er sannarlega ómetanlegur. Ég er að bjóða fagþjónustu mína sem sjálfboðaliði til að aðstoða samtök þín við ADHD-tengdar frumkvæði. Gætirðu gefið upplýsingar um hvernig ég get tekið þátt sem faglegur sjálfboðaliði hjá fyrirtækinu þínu? Vinsamlegast láttu mig vita hvernig ég get byrjað sjálfboðaliða eða hvort þörf er á frekari upplýsingum. Ég er fús til að fá svar þitt og leiðbeiningar.,Information Request
